Time,Tensao_Inversor
1.00349e-15,-149.999999859596
1.00349e-15,-149.999999859596
2.00695e-15,-150.0000001008059
2.00695e-15,-150.0000001008059
4.01397e-15,-149.9999996183633
4.01397e-15,150.0000002616367
8.02795e-15,149.9999992967655
8.02795e-15,149.9999992967655
1.60558e-14,150.0000012264881
1.60558e-14,150.0000012264881
2.14078e-14,149.9999999399836
2.14078e-14,149.9999999399836
3.2112e-14,149.9999973669423
3.2112e-14,-150.0000025130578
6.42238e-14,-149.9999947941105
6.42238e-14,-149.9999947941105
1.28446e-13,-150.0000102316506
1.28446e-13,-150.0000102316506
2.56896e-13,-149.9999793551078
2.56896e-13,150.0000205248922
5.13792e-13,149.9999587726896
5.13792e-13,149.9999587726896
1.02758e-12,150.0000822758764
1.02758e-12,150.0000822758764
1.37011e-12,149.9999999388928
1.37011e-12,149.9999999388928
2.05518e-12,149.9998352631333
2.05518e-12,-150.0001646168667
4.11035e-12,-149.9996705992862
4.11035e-12,-149.9996705992862
8.22059e-12,-150.0006586149741
8.22059e-12,-150.0006586149742
1.64415e-11,-149.9986824855029
1.64415e-11,150.0013173944971
3.28829e-11,149.9973652040399
3.28829e-11,149.9973652040399
6.57656e-11,150.0052694222904
6.57656e-11,150.0052694222904
8.76877e-11,149.9999994392658
8.76877e-11,149.9999994392658
1.31533e-10,149.9894610096579
1.31533e-10,-150.0105388703421
2.63064e-10,-149.978924177363
2.63064e-10,-149.978924177363
5.26121e-10,-150.0421455280055
5.26121e-10,-150.0421455280056
1.05226e-09,-149.9157233652558
1.05226e-09,150.0842765147442
2.10452e-09,149.8315422475663
2.10452e-09,149.8315422475663
4.20903e-09,150.3365797257512
4.20903e-09,150.3365797257512
5.61205e-09,149.9981855482359
5.61205e-09,149.9981855482359
8.41814e-09,149.3281948622681
8.41814e-09,-150.6718050177319
1.68362e-08,-148.661833218683
1.68362e-08,-148.661833218683
3.36719e-08,-152.6546683703065
3.36719e-08,-152.6546683703066
6.7345e-08,-144.7796497899256
6.7345e-08,155.2203500900744
8.22619e-08,151.3979650743295
8.22619e-08,151.3979650743295
1.3469e-07,139.9379533228937
1.3469e-07,139.9379533228937
1.95913e-07,155.2639016835583
1.95913e-07,155.2639016835582
2.69377e-07,168.5854948297792
2.69377e-07,168.5854948297792
3.5917e-07,144.5262011546029
3.5917e-07,144.5262011546029
4.25967e-07,132.286522980894
4.25967e-07,132.286522980894
5.38757e-07,118.7670769999862
5.38757e-07,-181.2329228800138
9.06491e-07,-113.8573144968734
9.06491e-07,-113.8573144968734
1.07749e-06,-106.0915986969926
1.07749e-06,-106.0915986969926
1.94466e-06,-198.5427244925658
1.94466e-06,-198.5427244925658
2.15489e-06,-199.4706615855604
2.15489e-06,-199.4706615855604
4.09429e-06,-100.009643189334
4.09429e-06,-100.009643189334
4.30959e-06,-100.0046777706724
